item_details,outletcode,shop_name
Noodles | Type: Curry flavour | Size of units: 80 | Unit of Measure: g | Material: | Brand: Mamee | Made in Malaysia | Last Price: Jan_2025 Price: 6,0201,Day night mart
Noodles | Type: Hot and spicy | Size of units: 80 | Unit of Measure: g | Material: | Brand: Kothumee | Made in Malaysia | Last Price: Jan_2025 Price: 6,0201,Day night mart
Cake mix | Type: Vanilla | Size of units: 485 | Unit of Measure: g | Material: Pouch | Brand: Pillsbury | Made in UAE | Last Price: Jan_2025 Price: 48,0201,Day night mart
Frozen Beef | Type: Chunk beef | Size of units: 900 | Unit of Measure: g | Material: | Brand: Alshifa | Made in India | Last Price: Jan_2025 Price: 90,0201,Day night mart
Normal Rice | Type: Normal Rice loose | Size of units: 1 | Unit of Measure: Kg | Brand: | Made in | Last Price: Jan_2025 Price: 5,0211,Eureka Five Eleven
Basmathi Rice | Type: Basmathi Rice | Size of units: 1 | Unit of Measure: kg | Material: | Brand:Kashmir | Made in Pakistan | Last Price: Jan_2025 Price: 40,0211,Eureka Five Eleven
Wheat Flour | Type: wheat flour | Size of units: 1 | Unit of Measure: kg | Size: loose | Brand: | | Last Price: Jan_2025 Price: 4,0211,Eureka Five Eleven
Whole Wheat Flour | Type: Chakki Fresh Atta | Size of units: 1 | Unit of Measure: kg | Brand: Prima | Last Price: Dec_2024 Price: 25,0211,Eureka Five Eleven
"Bread(sliced, loaf) | Type: Bread (sliced white) | Size of units: 560g | Unit of Measure: Big | Material: | Brand: Alcyon | Made in Maldives | Last Price: Jan_2025 Price: 25",0211,Eureka Five Eleven
"Bread(sliced, loaf) | Type: brown | Size of units: small | Unit of Measure: | Material: | Brand: City bakery | Made in Maldives | Last Price: Jan_2025 Price: 18",0211,Eureka Five Eleven
Buns | Type: Soft buns Bun | Size of units: 10 | Unit of Measure: bun | Material: Transparent pack | Brand: Alcyon | Made in Maldives | Last Price: Jan_2025 Price: 10,0211,Eureka Five Eleven
Cream crackers | Type: Cream crackers | Size of units: 100 | Unit of Measure: g | Brand: Navigable | Made in China | | Last Price: Jan_2025 Price: 8,0211,Eureka Five Eleven
Marie Biscuits | Type: Marie biscuit | Size of units: 400 | Unit of Measure: g | Material: | Brand: Munchee | Made in Malaysia | Last Price: Jan_2025 Price: 30,0211,Eureka Five Eleven
Other crackers | Type: Chocolate Puff | Size of units: 200 | Unit of Measure: g | Material: | Brand: Munchee | Made in | Last Price: Jan_2025 Price: 15,0211,Eureka Five Eleven
Packet Cakes | Type: Chocolate layer | Size of units: 16 | Unit of Measure: g | Material: | Brand: Apollo | Made in | Last Price: Jan_2025 Price: 3,0211,Eureka Five Eleven
Corn flakes | Type: Original | Size of units: 250 | Unit of Measure: g | Brand: Kellogs | Made in India | | Last Price: Jan_2025 Price: 55,0211,Eureka Five Eleven
Chocos | Type: Chocos | Size of units: 700 | Unit of Measure: g | Material: box | Brand: Kellogs | Made in India | Last Price: Aug_2024 Price: 120,0211,Eureka Five Eleven
Oats | Type: Rolled Oats | Size of units: 400 | Unit of Measure: g | Material: packet | Brand: Kelloggs | Made in | Last Price: Dec_2024 Price: 50,0211,Eureka Five Eleven
Pasta | Type: Penne | Size of units: 500 | Unit of Measure: g | Material: | Brand: San remo | Made in Australia | Last Price: Jan_2025 Price: 32,0211,Eureka Five Eleven
Noodles | Type: Curry Noodles | Size of units: 80 Unit of Measure: g | Material: pkt | Brand: Mamee | Made in Malaysia | Last Price: Jan_2025 Price: 6,0211,Eureka Five Eleven
Cake mix | Type: Stawberry cheese cake | Size of units: 485 | Unit of Measure: g | Material: packet | Brand:Betty crockers | Made in UAE | Last Price: Aug_2024 Price: 95,0211,Eureka Five Eleven
Frozen Beef | Type: Frozen Beef Boneless chunks | Size of units: 900 | Unit of Measure: G | Material: | Brand: | Made in Brazil | Last Price: Dec_2024 Price: 80,0211,Eureka Five Eleven
Frozen Chicken | Type: Frozen chicken | Size of units: 1.4 | Unit of Measure: kg | Material: | Brand: | Made in Brazil | Last Price: Jan_2025 Price: 80,0211,Eureka Five Eleven
Sausage | Type: Sausage | Size of units: 340 | Unit of Measure: g | Material: | Brand: Frangosul | Made in | Last Price: Jan_2025 Price: 25,0211,Eureka Five Eleven
Smoked Fish | Type: Smoked fish | Size of units: 1 | Unit of Measure: kg | Material: Vaccum | Brand: Mifco | Made in Maldives | Last Price: Jan_2025 Price: 140,0211,Eureka Five Eleven
